species;habitat;venom_stat(threat_to_humans);threat_to_humans;model_predictions
Salvelinus-fontinalis;"Marine; freshwater; brackish;  benthopelagic; anadromous (Ref. 120291); depth range 15 - 27 m (Ref. 3899). Temperate; 0°C - 25°C (Ref. 35682); 61°N -   34°N, 124°W -   52°W (Ref. 86798)";nonvenomous;Potential pest;"Preferred temperature (Ref. 123201): 1.5 - 10.7, mean 4.5 °C (based on 47 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00912 (0.00779 - 0.01068), b=3.03 (2.98 - 3.08), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.0 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm=1-3; tmax=7).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (63 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Very high."
Leucoraja-erinacea;"Marine;  demersal; oceanodromous (Ref. 51243); depth range 10 - 914 m (Ref. 106604). Temperate; 49°N -   33°N, 78°W -   59°W (Ref. 55277)";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
Poeciliopsis-prolifica;"Freshwater; brackish;  benthopelagic; pH range: ? - 8.0; dH range: 2 - 10. Subtropical; 24°C - 28°C (Ref. 2059)";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
Amphiprion-ocellaris;"Marine;  reef-associated; non-migratory; depth range 1 - 15 m (Ref. 7247), usually 3 - 15 m (Ref. 55267). Tropical; 46°N -   17°S, 92°E -   147°E (Ref. 55267)";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 26.2 - 29.3, mean 28.7 °C (based on 1746 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01479 (0.00648 - 0.03378), b=3.00 (2.80 - 3.20), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.1   ±0.36 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm<1; Fec=600).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 115 [69, 209] mg/100g ; Iron = 0.909 [0.558, 1.451] mg/100g ; Protein = 18.6 [17.5, 19.6] % ; Omega3 = 0.142 [0.086, 0.235] g/100g ; Selenium = 18.8 [10.6, 37.0] μg/100g ; VitaminA = 223 [75, 636] μg/100g ; Zinc = 1.84 [1.26, 2.60] mg/100g (wet weight);"
Dunckerocampus-dactyliophorus;"Marine;  reef-associated; depth range 5 - 56 m (Ref. 1602). Tropical; 33°N -   26°S";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 24.8 - 29, mean 27.8 °C (based on 672 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5078   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00085 (0.00032 - 0.00225), b=3.04 (2.81 - 3.27), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.8   ±0.55 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 93.5 [54.0, 188.5] mg/100g ; Iron = 0.776 [0.447, 1.440] mg/100g ; Protein = 18.2 [17.0, 19.3] % ; Omega3 = 0.128 [0.074, 0.232] g/100g ; Selenium = 37.4 [19.3, 82.4] μg/100g ; VitaminA = 78.1 [26.7, 221.2] μg/100g ; Zinc = 1.39 [0.94, 2.00] mg/100g (wet weight);"
Anoplopoma-fimbria;"Marine;  bathydemersal; oceanodromous (Ref. 51243); depth range 175 - 2740 m (Ref. 6793), usually 175 - 1450 m (Ref. 10935). Deep-water; 64°N -   23°N, 141°E -   109°W";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 1.4 - 5.5, mean 2.5 °C (based on 599 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.2500   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01096 (0.00786 - 0.01529), b=2.99 (2.89 - 3.09), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.8   ±0.2 se; based on diet studies.					

				
					
					
						 Generation time: 5.8 (4.9 - 7.8) years. Estimated as median ln(3)/K based on 23 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Very Low, minimum population doubling time more than 14 years (K=0.2; tm=6; Fec=100,000; tmax=94).					
								
					
						 Prior r = 0.11, 95% CL = 0.06 - 0.16, Based on 5 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (49 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High vulnerability (58 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high."
Malaclemys-terrapin;NA;nonvenomous;NA;NA
Spea-bombifrons;NA;nonvenomous;NA;NA
Synchiropus-splendidus;"Marine;  reef-associated; depth range 1 - 18 m (Ref. 9710), usually 1 - 18 m (Ref. 27115). Tropical";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 25 - 29.3, mean 28.6 °C (based on 1677 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01175 (0.00533 - 0.02588), b=3.01 (2.82 - 3.20), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.4 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 173 [102, 321] mg/100g ; Iron = 1.07 [0.65, 1.70] mg/100g ; Protein = 18.8 [17.8, 19.8] % ; Omega3 = 0.162 [0.097, 0.270] g/100g ; Selenium = 22.9 [12.2, 42.7] μg/100g ; VitaminA = 122 [42, 355] μg/100g ; Zinc = 2.37 [1.61, 3.38] mg/100g (wet weight);"
Acanthochromis-polyacanthus;"Marine;  reef-associated; non-migratory; depth range 1 - 65 m (Ref. 9710), usually 4 - 20 m (Ref. 90102). Tropical; 15°N -   26°S, 116°E -   169°E (Ref. 56301)";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 25.1 - 28.9, mean 27.8 °C (based on 458 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.03236 (0.01934 - 0.05413), b=3.04 (2.89 - 3.19), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.7   ±0.30 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (13 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 112 [57, 167] mg/100g ; Iron = 0.861 [0.520, 1.422] mg/100g ; Protein = 18.3 [17.1, 19.4] % ; Omega3 = 0.121 [0.074, 0.195] g/100g ; Selenium = 36.9 [20.2, 68.6] μg/100g ; VitaminA = 50.9 [13.7, 180.6] μg/100g ; Zinc = 1.67 [1.14, 2.38] mg/100g (wet weight);"
Erpetoichthys-calabaricus;"Freshwater; brackish;  demersal; pH range: 6.0 - 8.0; dH range: 5 - 19; depth range 0 - ? m (Ref. 557). Tropical; 22°C - 28°C (Ref. 1672)";nonvenomous;Harmless;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0001   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00162 (0.00111 - 0.00237), b=3.03 (2.92 - 3.14), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.40 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (tmax=20; Fec = 264).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (35 of 100)."
Dicentrarchus-labrax;"Marine; freshwater; brackish;  demersal; oceanodromous; depth range 10 - 100 m (Ref. 9987). Subtropical; 8°C - 24°C (Ref. 4944); 72°N -   11°N, 19°W -   42°E (Ref. 54221)";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 7.3 - 19.5, mean 10.7 °C (based on 788 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.7656   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00933 (0.00776 - 0.01122), b=3.02 (2.96 - 3.08), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.5   ±0.50 se; based on food items.					

				
					
					
						 Generation time: 7.8 (5.0 - 11.0) years. Estimated as median ln(3)/K based on 33 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.06-0.33; tm=2-8; tmax=30; Fec=230,000).					
								
					
						 Prior r = 0.54, 95% CL = 0.35 - 0.84, Based on 14 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (66 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (47 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high."
Lates-calcarifer;"Marine; freshwater; brackish;  demersal; catadromous (Ref. 51243); depth range 10 - 40 m (Ref. 7261). Tropical; 15°C - 28°C (Ref. 2060); 49°N -   26°S, 56°E -   155°E (Ref. 54239)";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 25 - 29.1, mean 28.3 °C (based on 710 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5006   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01000 (0.00634 - 0.01577), b=3.00 (2.87 - 3.13), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.8   ±0.60 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.09-0.13; tm=1-5; Fec = 15,300,000).					
								
					
						 Prior r = 0.58, 95% CL = 0.38 - 0.87, Based on 13 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (70 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High to very high vulnerability (72 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high."
Syngnathus-scovelli;"Marine; freshwater; brackish;  demersal; depth range 0 - 6 m (Ref. 26938), usually ? - 6 m (Ref. 26938). Tropical";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 23.3 - 28.1, mean 27.2 °C (based on 814 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00028 (0.00012 - 0.00065), b=3.21 (3.03 - 3.39), in cm total length, based on LWR estimates for this Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.45 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tmax=3).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (12 of 100)."
Podarcis-raffonei;NA;nonvenomous;NA;NA
Scomber-japonicus;"Marine;  pelagic-neritic; oceanodromous (Ref. 51243); depth range 0 - 300 m (Ref. 168), usually 50 - 200 m (Ref. 35185). Subtropical; 10°C - 27°C (Ref. 35185); 60°N -   48°S, 116°E -   70°W";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 9.3 - 27.7, mean 20.7 °C (based on 1526 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5625   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00741 (0.00663 - 0.00829), b=3.05 (3.02 - 3.08), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.1 se; based on diet studies.					

				
					
					
						 Generation time: 3.6 (3.1 - 5.0) years. Estimated as median ln(3)/K based on 24 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.12-0.22; tm=2-3; tmax=18).					
								
					
						 Prior r = 0.48, 95% CL = 0.32 - 0.73, Based on 3 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (31 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Low vulnerability (24 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						High."
Xyrauchen-texanus;"Freshwater;  demersal; potamodromous (Ref. 51243). Temperate; 37°N -   34°N";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
Pristis-pectinata;"Marine; freshwater; brackish;  demersal; amphidromous (Ref. 51243); depth range 10 - 88 m (Ref. 114953). Subtropical; 16°C - 30°C";nonvenomous;Traumatogenic (Ref. 6871);"Preferred temperature (Ref. 123201): 22.9 - 28, mean 27.1 °C (based on 776 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5234   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00407 (0.00162 - 0.01028), b=3.02 (2.80 - 3.24), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.5   ±0.80 se; based on food items.					

				
					
					
						 Generation time: 32.3 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Fec=15).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (84 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Medium."
Antechinus-flavipes;NA;nonvenomous;NA;NA
Ctenopharyngodon-idella;"Freshwater; brackish;  benthopelagic; potamodromous (Ref. 51243); depth range 0 - 30 m (Ref. 6898). Subtropical; 0°C - 35°C (Ref. 52059); 50°N -   23°N, 100°E -   142°E (Ref. 48)";nonvenomous;Potential pest;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00933 (0.00803 - 0.01085), b=3.09 (3.05 - 3.13), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.0   ±0.00 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.13-0.19; tm=2-10; tmax=21; Fec=50,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (69 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Labeo-rohita;"Freshwater; brackish;  benthopelagic; potamodromous (Ref. 51243); depth range 5 - ? m (Ref. 4832). Tropical; 32°N -   21°S";nonvenomous;Harmless;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00813 (0.00699 - 0.00945), b=3.08 (3.05 - 3.11), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.2   ±0.12 se; based on food items.					

				
					
					
						 Generation time: 4.0 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm=3; tmax=10).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (48 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Gopherus-flavomarginatus;NA;nonvenomous;NA;NA
Epinephelus-moara;"Marine;  reef-associated; depth range 20 - 200 m (Ref. 5222). Tropical; 38°N -   18°N, 108°E -   142°E (Ref. 5222)";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 17.7 - 23.7, mean 20.5 °C (based on 94 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01148 (0.00671 - 0.01964), b=3.06 (2.92 - 3.20), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.0   ±0.66 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Very Low, minimum population doubling time more than 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (82 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Very high."
