species,habitat,venomous,threat_to_humans,model_predictions,temp_min,temp_max
Hypodytes-rubripinnis,Marine;  reef-associated. Tropical,venomous,Venomous (Ref. 559),"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5625   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00479 (0.00183 - 0.01252), b=3.13 (2.90 - 3.36), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.3 se; based on size and trophs of closest relatives					

				
					
					
						 Generation time: 2.0 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (K=0.55).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (24 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",,
Sander-lucioperca,"Freshwater; brackish;  pelagic; potamodromous (Ref. 51243); depth range 2 - 30 m (Ref. 30578), usually 2 - 3 m (Ref. 27368). Temperate; 6°C - 22°C (Ref. 2059); 67°N -   36°N, 1°W -   75°E",nonvenomous,Potential pest (Ref. 57271),"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5312   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00661 (0.00549 - 0.00795), b=3.10 (3.05 - 3.15), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.0   ±0.78 se; based on food items.					

				
					
					
						 Generation time: 8.2 (5.8 - 12.2) years. Estimated as median ln(3)/K based on 19 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.10-0.24; tmax=16; Fecundity=10,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (62 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",6,22
Synanceia-verrucosa,"Marine;  reef-associated; non-migratory; depth range 0 - 30 m (Ref. 37816). Tropical; 30°N -   30°S, 30°E -   139°W",venomous,Venomous (Ref. 4690),"Preferred temperature (Ref. 123201): 24.9 - 29.3, mean 28.3 °C (based on 3300 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5312   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01622 (0.00606 - 0.04338), b=3.06 (2.84 - 3.28), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.77 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (39 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",24.9,29.3
Synanceia-horrida,Marine; brackish;  reef-associated; depth range 0 - 40 m (Ref. 90102). Tropical,venomous,Venomous (Ref. 4716),"Preferred temperature (Ref. 123201): 24.4 - 29, mean 27.9 °C (based on 874 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5312   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01622 (0.00606 - 0.04338), b=3.06 (2.84 - 3.28), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.8 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Very Low, minimum population doubling time more than 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (44 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 35.7 [17.6, 70.5] mg/100g ; Iron = 0.558 [0.288, 1.280] mg/100g ; Protein = 18.2 [16.6, 19.7] % ; Omega3 = 0.19 [0.08, 0.49] g/100g ; Selenium = 32.4 [16.6, 74.8] μg/100g ; VitaminA = 125 [40, 395] μg/100g ; Zinc = 1.21 [0.84, 1.76] mg/100g (wet weight);",24.4,29
Inimicus-japonicus,Marine;  demersal; depth range 10 - 200 m. Tropical,venomous,Venomous (Ref. 4716),"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Scatophagus-argus,"Marine; freshwater; brackish;  demersal; amphidromous (Ref. 51243); depth range 0 - 5 m (Ref. 90102). Tropical; 20°C - 28°C (Ref. 13371); 35°N -   33°S, 48°E -   171°W",venomous,Venomous (Ref. 6565),"Preferred temperature (Ref. 123201): 25.4 - 29.3, mean 28.6 °C (based on 2701 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.8125   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.03236 (0.02371 - 0.04416), b=2.92 (2.83 - 3.01), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.0   ±0.35 se; based on food items.					

				
					
					
						 Generation time: 0.9 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm=1; Fec=337,309; K=1.2).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (20 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Low.",25.4,29.3
Siganus-virgatus,"Marine; brackish;  reef-associated; depth range 1 - ? m (Ref. 48637), usually 1 - 20 m (Ref. 27115). Tropical; 23°C - 28°C (Ref. 27115); 35°N -   25°S, 77°E -   154°E",venomous,Venomous (Ref. 4537),"Preferred temperature (Ref. 123201): 25.4 - 29.1, mean 28.3 °C (based on 1192 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01905 (0.01036 - 0.03504), b=3.13 (2.97 - 3.29), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.7   ±0.31 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (20 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						High.",25.4,29.1
Siganus-fuscescens,"Marine; brackish;  reef-associated; oceanodromous (Ref. 51243); depth range 1 - 50 m (Ref. 9813). Tropical; 42°N -   37°S, 90°E -   171°E",venomous,Venomous (Ref. 4716),"Preferred temperature (Ref. 123201): 22.6 - 29, mean 27.9 °C (based on 760 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01288 (0.00824 - 0.02013), b=2.99 (2.86 - 3.12), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.0   ±0.1 se; based on diet studies.					

				
					
					
						 Generation time: 1.3 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (21 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						High.",22.6,29
Thunnus-albacares,"Marine; brackish;  pelagic-oceanic; oceanodromous (Ref. 51243); depth range 1 - 1602 m, usually 1 - 250 m (Ref. 6390). Tropical; 15°C - 31°C (Ref. 168); 50°N -   50°S, 180°W -   180°E",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 16.5 - 28.9, mean 26.7 °C (based on 6382 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5039   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01445 (0.01182 - 0.01768), b=3.03 (2.99 - 3.07), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.4 se; based on diet studies.					

				
					
					
						 Generation time: 2.8 (2.3 - 3.5) years. Estimated as median ln(3)/K based on 46 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.13-0.42; tm=2-5; tmax=8; Fec=200,000).					
								
					
						 Prior r = 0.57, 95% CL = 0.37 - 0.85, Based on 5 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (46 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate vulnerability (42 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						High.",16.5,28.9
Thunnus-maccoyii,"Marine;  pelagic-oceanic; oceanodromous (Ref. 51243); depth range 50 - 2743 m (Ref. 57178). Temperate; 5°C - 20°C (Ref. 168); 10°S -   60°S, 180°W -   180°E (Ref. 54921)",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 2.5 - 7.9, mean 5 °C (based on 439 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5039   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01288 (0.01067 - 0.01556), b=3.03 (2.99 - 3.07), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.9   ±0.53 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.14-0.15; tm=8-9; tmax=20; Fec=14 million).					
								
					
						 Prior r = 0.27, 95% CL = 0.18 - 0.41, Based on 1 stock assessment.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (67 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate vulnerability (38 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",2.5,7.9
Micropterus-salmoides,"Freshwater;  benthopelagic; pH range: 7.0 - 7.5; dH range: 10 - ?; depth range 0 - 6 m (Ref. 1998). Subtropical; 10°C - 32°C (Ref. 12741); 46°N -   24°N, 125°W -   65°W (Ref. 89798)",nonvenomous,Potential pest,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5001   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01047 (0.00902 - 0.01216), b=3.08 (3.03 - 3.13), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.8   ±0.4 se; based on diet studies.					

				
					
					
						 Generation time: 5.2 (4.6 - 6.1) years. Estimated as median ln(3)/K based on 41 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.06-0.14; tm=3-5; tmax=16; Fec=2,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (42 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",10,32
Dicentrarchus-labrax,"Marine; freshwater; brackish;  demersal; oceanodromous; depth range 10 - 100 m (Ref. 9987). Subtropical; 8°C - 24°C (Ref. 4944); 72°N -   11°N, 19°W -   42°E (Ref. 54221)",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 7.3 - 19.5, mean 10.7 °C (based on 788 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.7656   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00933 (0.00776 - 0.01122), b=3.02 (2.96 - 3.08), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.5   ±0.50 se; based on food items.					

				
					
					
						 Generation time: 7.8 (5.0 - 11.0) years. Estimated as median ln(3)/K based on 33 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.06-0.33; tm=2-8; tmax=30; Fec=230,000).					
								
					
						 Prior r = 0.54, 95% CL = 0.35 - 0.84, Based on 14 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (66 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (47 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",7.3,19.5
Morone-saxatilis,"Marine; freshwater; brackish;  demersal; anadromous (Ref. 51243); depth range 30 - ? m (Ref. 2850). Temperate; 8°C - 25°C (Ref. 47172); 49°N -   27°N, 94°W -   59°W (Ref. 86798)",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 1 - 23.5, mean 9.3 °C (based on 22 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5781   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00933 (0.00743 - 0.01172), b=3.06 (2.99 - 3.13), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.7   ±0.2 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.12; tm=5-7; tmax=30; Fec=14,000).					
								
					
						 Prior r = 0.28, 95% CL = 0.18 - 0.43, Based on 1 stock assessment.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (61 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High vulnerability (61 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Medium.",1,23.5
Micropterus-dolomieu,"Freshwater;  benthopelagic; depth range 1 - 7 m (Ref. 120820). Subtropical; 9°C - 30°C (Ref. 1998); 50°N -   33°N, 95°W -   63°W (Ref. 86798)",nonvenomous,Potential pest,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5001   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01096 (0.00898 - 0.01339), b=3.05 (2.99 - 3.11), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.6   ±0.2 se; based on diet studies.					

				
					
					
						 Generation time: 6.8 (5.2 - 7.3) years. Estimated as median ln(3)/K based on 26 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.10-0.28; tm=3-6; tmax=14; Fec=5,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (49 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",9,30
Larimichthys-crocea,"Marine; brackish;  benthopelagic; oceanodromous (Ref. 51243); depth range 0 - 120 m (Ref. 43239). Temperate; 38°N -   13°N, 106°E -   141°E",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 20.8 - 24.7, mean 22.8 °C (based on 54 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.6250   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00891 (0.00583 - 0.01363), b=3.07 (2.95 - 3.19), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.7   ±0.56 se; based on food items.					

				
					
					
						 Generation time: 5.2 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Assuming tm=2-4).					
								
					
						 Prior r = 0.30, 95% CL = 0.20 - 0.45, Based on 1 stock assessment.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (42 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Very high vulnerability (88 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",20.8,24.7
Argyrosomus-regius,"Marine; brackish;  benthopelagic; oceanodromous (Ref. 51243); depth range 15 - 300 m (Ref. 2683). Subtropical; 65°N -   6°S, 23°W -   36°E",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 13.3 - 19.4, mean 15.3 °C (based on 169 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00832 (0.00757 - 0.00914), b=3.07 (3.04 - 3.10), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.3   ±0.75 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.09).					
								
					
						 Prior r = 0.28, 95% CL = 0.16 - 0.49, Based on 3 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (79 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (48 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Medium.",13.4,19.4
